Premises Name,Certification Service Type,Service Types,Total Beds,Premises Website,Premises Address Other, Premises Address, Premises Address Suburb/Road, Premises Address Town/City, Premises Address Post Code, DHB Name,Certificate Name,Certification Period (Months),Certificate/License End Date,Current Auditor,Legal Name,Legal Entity Address Other, Legal Entity Address, Legal Entity Address Suburb/Road, Legal Entity Address Town/City, Legal Entity Address Post Code, Legal Entity Postal Address, Legal Entity Postal Address Suburb/Road, Legal Entity Postal Address Town/City, Legal Entity Postal Address Post Code, Legal Entity Website,
Allevia Hospital Epsom,NGO Hospital,"Surgical, Medical",118,http://www.mercyascot.co.nz/,,98 Mountain Road,Epsom,Auckland,1023,Auckland District Health Board,The Ascot Hospital and Clinics Limited - Allevia Hospitals,36,3-7-2028,The DAA Group Limited,The Ascot Hospital & Clinics Limited,,98 Mountain Road,,Auckland,1023,PO Box 9911,,Auckland,1149,,
Chelsea Hospital Trust,NGO Hospital,"Surgical, Medical",16,,,189 Cobden Street,,Gisborne,4010,Tairawhiti District Health Board,The Chelsea Hospital Trust Board - Chelsea Hospital Trust,No change,7-5-2026,The DAA Group Limited,The Chelsea Hospital Trust Board,,189 Cobden Street,,Gisborne,4010,,,,,,
Churchill Private Hospital,NGO Hospital,Surgical,9,http://www.churchillhospital.co.nz,,30 Hospital Road,Witherlea,Blenheim,7201,Nelson Marlborough District Health Board,The Churchill Private Hospital Trust - Churchill Private Hospital,36,18-5-2028,The DAA Group Limited,The Churchill Private Hospital Trust,Gate 2,30 Hospital Road,,Blenheim,7201,PO Box 351,,Blenheim,7240,,
The Cranford Hospice Trust,NGO Hospital,Medical,8,http://www.cranfordhospice.org.nz/cranford/index.htm,,300 Knight Street,,Hastings,4122,Hawke's Bay District Health Board,The Cranford Hospice Trust - The Cranford Hospice,No change,22-11-2026,The DAA Group Limited,The Cranford Hospice Trust,,300 Knight Street,,Hastings,4122,PO Box 189,,Hastings,4156,http://www.cranfordhospice.org.nz/cranford/index.htm,
Mary Potter Hospice,NGO Hospital,Medical,18,,,48 Mein Street,Newtown,Wellington,6021,Capital and Coast District Health Board,The Mary Potter Hospice Foundation - Mary Potter Hospice,No change,22-3-2026,The DAA Group Limited,The Mary Potter Hospice Foundation,,48 Mein Street,,Wellington,6021,PO Box 7442,,Wellington,6242,,
Totara Hospice,NGO Hospital,Medical,18,,,140 Charles Prevost Drive,The Gardens,Auckland,2105,Counties Manukau District Health Board,Totara Hospice - Totara Hospice,48,2-11-2027,The DAA Group Limited,Totara Hospice,Totara House,140 Charles Prevost Drive,,Auckland,2243,PO Box 75560,,Auckland,2243,,
Nga Hau Birthing Centre,NGO Hospital,Maternity,20,,,14 Waddon Place,Mangere,Auckland,2022,Counties Manukau District Health Board,Turuki Health Care Limited - Nga Hau Birthing Centre,12,19-3-2026,The DAA Group Limited,Turuki Health Care Limited,,2/32 Canning Crescent,,Auckland,2022,PO Box 43002,,Auckland,2153,,
Hospice Waikato,NGO Hospital,Medical,12,,,334 Cobham Drive,Hillcrest,Hamilton,3216,Waikato District Health Board,Waikato Community Hospice Trust - Hospice Waikato,No change,5-3-2027,The DAA Group Limited,Waikato Community Hospice Trust,,334 Cobham Drive,,Hamilton,3216,PO Box 325,,Hamilton,3240,,
Waipuna Hospice,NGO Hospital,Medical,6,,,43 Te Puna Station Road,RD 6,Tauranga,3176,Bay of Plenty District Health Board,Waipuna Hospice Incorporated - Waipuna Hospice,No change,22-9-2026,The DAA Group Limited,Waipuna Hospice Incorporated,,43 Te Puna Station Road,,Tauranga,3176,,,,,,
Selina Sutherland Hospital,NGO Hospital,"Surgical, Medical",10,,Selina Sutherland Hospital,17 Blair Street,Lansdowne,Masterton,5810,Wairarapa District Health Board,Wairarapa Hospital OPCO GP Limited - Selina Sutherland Hospital,No change,12-2-2027,The DAA Group Limited,Wairarapa Hospital OPCO GP Limited,Selina Sutherland,17 Blair Street,,Masterton,5810,17 Blair Street,,Masterton,5810,,
Waterford Birth Centre,NGO Hospital,Maternity,10,https://www.waterfordbc.co.nz/,,27 Tisdall Terrace,Hamilton Central,Hamilton,3204,Waikato District Health Board,Waterford Birth Centre 2002 Limited - Waterford Birth Centre,36,1-8-2028,HealthShare Limited,Waterford Birth Centre 2002 Limited,,27 Tisdall Terrace,,Hamilton,3204,27 Tisdall Terrace,,Hamilton,3204,,
